AU;ndoc;ncit;ndoc_1st;ncit_1st;ncit_loc;au;btw_centrality;clos_centrality;pagerank_centrality;community
DEGEAI S;1;18;0;0;0;degeai s;0,00000000000000e+00;5,49420361518598e-05;1,42763459175432e-04;NA
DEGEEST AL;1;44;1;44;6;degeest al;0,00000000000000e+00;6,73582109659167e-05;1,53398412010894e-04;c02
DEGROOT CJ;1;32;1;32;7;degroot cj;0,00000000000000e+00;NA;3,41273633200992e-05;NA
DEHARVENG L;1;5;0;0;1;deharveng l;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
DEILLON A;1;0;0;0;0;deillon a;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
DEL RIO JG;1;0;0;0;0;del rio jg;5,00000000000000e+00;6,66666666666667e-02;2,84108849841039e-04;NA
DEL SONTRO B;1;11;0;0;0;del sontro b;0,00000000000000e+00;3,88938586597176e-05;1,65340352859300e-04;c10
DELANGHE D;1;4;0;0;2;delanghe d;1,35969622390872e+04;7,00721743395698e-05;3,01762744584053e-04;c05
DELANGHE-SABATIER D;1;6;0;0;0;delanghe-sabatier d;0,00000000000000e+00;5,81091289441571e-05;2,53147636816400e-04;c05
DELANNOY JJ;1;93;0;0;2;delannoy jj;0,00000000000000e+00;7,33299112708074e-05;2,49814043737266e-04;c01
DELATTRE H;1;25;1;25;1;delattre h;0,00000000000000e+00;6,04668037247551e-05;9,14400864052364e-05;NA
DELEEUW JW;1;39;0;0;2;deleeuw jw;0,00000000000000e+00;6,56167979002625e-05;1,15434900759363e-04;NA
DELEEUW M;1;0;0;0;0;deleeuw m;0,00000000000000e+00;6,43045463314256e-05;1,20092217196396e-04;NA
DELLA VEDOVA S;1;20;0;0;0;della vedova s;0,00000000000000e+00;7,12555223029785e-05;1,76839403446923e-04;c05
DELMASTRO GB;1;8;0;0;0;delmastro gb;0,00000000000000e+00;6,29921259842520e-05;2,45661575161351e-04;c04
DELMOTTE S;1;5;0;0;2;delmotte s;4,00000000000000e+00;1,42857142857143e-01;3,10347458332239e-04;NA
DELOLME C;1;11;0;0;0;delolme c;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
DELOUIS E;1;41;0;0;0;delouis e;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
DELPEY Y;1;6;0;0;0;delpey y;0,00000000000000e+00;5,81091289441571e-05;2,53147636816355e-04;c05
DELPOUX S;1;8;0;0;0;delpoux s;0,00000000000000e+00;7,69230769230769e-02;2,02402722171156e-04;NA
DELQUE-KOLIC E;1;0;0;0;1;delque-kolic e;0,00000000000000e+00;6,58241179568194e-05;2,02885273067566e-04;c06
DELSAUT N;1;15;0;0;0;delsaut n;4,27061765668298e+02;7,24427702115329e-05;2,42608526964531e-04;c02
DELSONTRO T;1;19;0;0;1;delsontro t;0,00000000000000e+00;4,39309405614374e-05;2,11897922634452e-04;c10
DELUNEL R;1;23;0;0;4;delunel r;0,00000000000000e+00;5,23615038223898e-05;2,50009829611986e-04;c10
DEMADRON XD;1;90;1;90;35;demadron xd;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
DEMARS BOL;1;35;1;35;10;demars bol;3,02426089711480e+03;5,59534467323187e-05;2,48369716596869e-04;c01
DEMBSKI S;1;38;0;0;1;dembski s;0,00000000000000e+00;5,12689054088695e-05;1,26287685039587e-04;c09
DEMESTRE M;1;37;0;0;2;demestre m;0,00000000000000e+00;5,71689915389893e-05;1,80485123732191e-04;NA
DEMORY F;1;6;0;0;0;demory f;7,77074397824398e+02;5,90597684857075e-05;3,71128060725742e-04;c05
DENANT V;1;13;0;0;9;denant v;0,00000000000000e+00;5,65898930451021e-05;1,28246001470214e-04;NA
DENDIEVEL N;1;5;0;0;0;dendievel n;0,00000000000000e+00;7,69053295393371e-05;1,66508424452186e-04;c07
DENDIEVEL P;1;7;0;0;0;dendievel p;0,00000000000000e+00;7,93461874156947e-05;1,31337861716110e-04;c07
DENIAUX B;1;131;0;0;0;deniaux b;0,00000000000000e+00;6,73128702207862e-05;1,37192985271700e-04;c02
DENIAUX JL;1;67;0;0;0;deniaux jl;0,00000000000000e+00;6,20848078475197e-05;1,33620610076142e-04;c03
DENNINGER C;1;0;1;0;0;denninger c;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
DERRIENNIC M;1;5;0;0;0;derriennic m;0,00000000000000e+00;6,13986615091791e-05;2,24339071557540e-04;c06
DESBIEZ C;1;14;0;0;1;desbiez c;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
DESCHODT L;1;8;0;0;0;deschodt l;0,00000000000000e+00;5,16769159216578e-05;2,03202954299418e-04;NA
DESCLAUX E;1;22;0;0;0;desclaux e;0,00000000000000e+00;4,98678501969780e-05;2,71644417302176e-04;NA
DESCY JP;1;58;0;0;6;descy jp;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
DESIDERI J;1;9;0;0;0;desideri j;0,00000000000000e+00;4,32806751785328e-05;1,99028089284152e-04;c10
DESJONQUERES C;1;15;1;15;1;desjonqueres c;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
DESMET L;1;37;0;0;0;desmet l;0,00000000000000e+00;7,00427260628984e-05;1,17019359128208e-04;c07
DESOUSA J;1;0;0;0;1;desousa j;0,00000000000000e+00;5,55957080113415e-05;1,50251561649826e-04;c10
DESOUZALIMA Y;1;13;0;0;2;desouzalima y;0,00000000000000e+00;4,82509047044632e-05;1,18921784836771e-04;c04
DESPAX A;1;25;0;0;2;despax a;0,00000000000000e+00;7,18184429761563e-05;1,50035903812230e-04;c08
DESROCHES D;1;0;0;0;0;desroches d;0,00000000000000e+00;2,50000000000000e-01;2,27515755466251e-04;NA
DESSAILLY D;1;49;0;0;0;dessailly d;0,00000000000000e+00;2,00000000000000e-01;2,27515755466161e-04;NA
DESSAINT F;1;13;1;13;0;dessaint f;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
DESSAINT P;1;1;0;0;2;dessaint p;0,00000000000000e+00;1,66666666666667e-01;1,93587967370509e-04;NA
DESSAIX MC;1;4;0;0;0;dessaix mc;0,00000000000000e+00;6,18965090368903e-05;1,40696719624730e-04;c01
DESSE-BERSET M;1;6;0;0;0;desse-berset m;0,00000000000000e+00;5,91715976331361e-05;9,11094655975329e-05;c04
DESSE-BERSET N;1;26;0;0;0;desse-berset n;0,00000000000000e+00;5,91436006624083e-05;1,62664220795145e-04;c04
DETAINT A;1;18;0;0;0;detaint a;0,00000000000000e+00;5,27064776261003e-05;2,37392444004356e-04;NA
DETTAI A;1;6;0;0;1;dettai a;0,00000000000000e+00;6,93192846249827e-05;1,88718945937417e-04;c04
DEVERS A;1;9;0;0;1;devers a;0,00000000000000e+00;5,60978346235835e-05;1,16662379764364e-04;NA
DEVIER MH;1;83;0;0;0;devier mh;0,00000000000000e+00;6,62514906585398e-05;1,47010617780598e-04;c07
DEVILLERS J;1;17;0;0;7;devillers j;0,00000000000000e+00;6,19732275656916e-05;1,51377811121778e-04;c07
DEVISME R;1;1;0;0;0;devisme r;0,00000000000000e+00;6,88989940746865e-05;1,93019481312452e-04;c05
DEWAS M;1;39;1;39;1;dewas m;0,00000000000000e+00;2,00000000000000e-01;2,27515755466161e-04;NA
DI GIORGIO C;1;26;0;0;0;di giorgio c;0,00000000000000e+00;6,80503572643756e-05;1,52985064323108e-04;NA
DI MICHELLE JN;1;4;0;0;0;di michelle jn;0,00000000000000e+00;6,19463544570402e-05;1,31787546120357e-04;c01
DI-GIOVANNI C;1;16;0;0;2;di-giovanni c;0,00000000000000e+00;6,98421567257997e-05;1,31615660424571e-04;c07
DIEKKRUEGER B;1;14;0;0;0;diekkrueger b;0,00000000000000e+00;4,61126994374251e-05;2,07790477484823e-04;c10
DIEP D;1;2;1;2;1;diep d;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
DIETRICH D;1;3;1;3;2;dietrich d;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
DIEZ EG;1;4;1;4;4;diez eg;0,00000000000000e+00;4,61446172304001e-05;9,88319966453763e-05;c10
DIKAU R;1;49;0;0;1;dikau r;0,00000000000000e+00;3,44827586206897e-02;9,22951200768649e-05;NA
DILLMANN P;1;1;0;0;1;dillmann p;0,00000000000000e+00;1,66666666666667e-01;2,27515755466148e-04;NA
DIMITRIOU V;1;5;0;0;0;dimitriou v;0,00000000000000e+00;1,66666666666667e-01;2,27515755466148e-04;NA
DIOUF D;1;2;0;0;0;diouf d;0,00000000000000e+00;5,29212531752752e-05;1,40880111039241e-04;c08
DIOUF JC;1;6;0;0;0;diouf jc;0,00000000000000e+00;5,81091289441571e-05;2,53147636816308e-04;c05
DIOULOUFET V;1;1;0;0;0;diouloufet v;0,00000000000000e+00;7,39699681929137e-05;1,58528676531876e-04;c04
DIRMEYER S;1;158;0;0;0;dirmeyer s;0,00000000000000e+00;5,43124049532913e-05;2,69712258867359e-04;NA
DIRSZOWSKY CCR;1;2;0;0;0;dirszowsky ccr;0,00000000000000e+00;4,62278106508876e-05;1,91108767243746e-04;NA
DIXIT Y;1;4;0;0;0;dixit y;0,00000000000000e+00;5,87268029128494e-05;1,51492657926113e-04;NA
DJAOUDI K;1;14;1;14;0;djaoudi k;0,00000000000000e+00;6,50660420326631e-05;1,13577272355600e-04;c03
DJERBOUA A;1;0;0;0;0;djerboua a;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
DJINDJIAN F;1;0;1;0;1;djindjian f;0,00000000000000e+00;NA;3,41273633200992e-05;NA
DOCHI T;1;55;0;0;0;dochi t;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
DOHERTY J;1;16;0;0;2;doherty j;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
DOL S;1;27;0;0;0;dol s;0,00000000000000e+00;1,25000000000000e-01;2,34473310048762e-04;NA
DOMINE D;1;17;1;17;2;domine d;0,00000000000000e+00;6,19732275656916e-05;1,51377811121741e-04;c07
DOMINIK B;1;25;0;0;1;dominik b;0,00000000000000e+00;4,06223341593208e-05;1,33565678046884e-04;c10
DOMMANGET F;1;50;0;0;1;dommanget f;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
DONARD O;1;111;0;0;1;donard o;0,00000000000000e+00;5,95344406739299e-05;1,41977748920407e-04;c03
DONARD OFX;1;122;0;0;1;donard ofx;9,31671254272839e+03;7,10328171615286e-05;2,79526453834474e-04;c02
DONG LX;1;28;0;0;0;dong lx;0,00000000000000e+00;4,90556781947510e-05;1,78152669212956e-04;NA
DORCHIES D;1;2;0;0;0;dorchies d;0,00000000000000e+00;1,66666666666667e-01;1,93587967370417e-04;NA
DOREE C;1;0;0;0;0;doree c;0,00000000000000e+00;1,66666666666667e-01;1,93587967370509e-04;NA
DORHOUT D;1;9;0;0;0;dorhout d;0,00000000000000e+00;6,84743905779239e-05;1,48390268881178e-04;c02
DORTEN WS;1;28;1;28;8;dorten ws;0,00000000000000e+00;5,72508158241255e-05;1,27612942529375e-04;NA
DOS REIS JL;1;29;0;0;0;dos reis jl;0,00000000000000e+00;5,56792873051225e-05;2,06972314154494e-04;NA
DOUGLAS MR;1;96;0;0;0;douglas mr;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
DOUMS C;1;0;0;0;1;doums c;0,00000000000000e+00;1,00000000000000e-01;2,27515755466083e-04;NA
DROUINEAU H;1;10;0;0;2;drouineau h;5,92000000000000e+03;6,36942675159236e-05;2,96907799924559e-04;c04
DROZ L;1;29;0;0;10;droz l;0,00000000000000e+00;5,56792873051225e-05;2,06972314154454e-04;NA
DRUART JC;1;22;0;0;0;druart jc;0,00000000000000e+00;7,17051484296573e-05;1,59268266847866e-04;c01
DU TOIT D;1;42;0;0;1;du toit d;0,00000000000000e+00;7,14285714285714e-02;2,47262590237620e-04;NA
DUARTE R;1;0;0;0;0;duarte r;0,00000000000000e+00;5,93647966755714e-05;1,24224259147787e-04;c08
DUBAND D;1;2;1;2;3;duband d;0,00000000000000e+00;NA;3,41273633200992e-05;NA
DUBOIS J;1;2;0;0;3;dubois j;0,00000000000000e+00;4,75624256837099e-05;1,28282218660345e-04;NA
DUBOSQ N;1;0;0;0;1;dubosq n;4,25396825396825e+00;6,14062020264047e-05;2,55807917390168e-04;c06
DUCHENE JC;1;13;0;0;0;duchene jc;0,00000000000000e+00;6,06759298586251e-05;7,75209132714933e-05;c06
DUCHESNE S;1;7;1;7;0;duchesne s;0,00000000000000e+00;6,00889316187958e-05;9,17788712225516e-05;c02
DUCHEZ A;1;1;1;1;1;duchez a;0,00000000000000e+00;5,71689915389893e-05;1,41446552254246e-04;c03
DUFLOT N;1;6;0;0;0;duflot n;0,00000000000000e+00;5,96516344547841e-05;1,79950975630247e-04;c09
DUFOUR O;1;0;0;0;0;dufour o;0,00000000000000e+00;7,24270297675092e-05;1,31570886527340e-04;c05
DUGAS P;1;7;0;0;0;dugas p;0,00000000000000e+00;6,09681746128521e-05;2,14018143363714e-04;NA
DUHAUT T;1;0;0;0;0;duhaut t;0,00000000000000e+00;7,57575757575758e-05;2,41739050371454e-04;c02
DUMAS D;1;11;1;11;3;dumas d;0,00000000000000e+00;NA;3,41273633200992e-05;NA
DUMAS F;1;43;0;0;1;dumas f;0,00000000000000e+00;6,68449197860963e-05;1,13327413712111e-04;c02
DUMEZ J;1;0;0;0;0;dumez j;0,00000000000000e+00;5,34988230258934e-05;2,25939556823829e-04;NA
DUMONT E;1;87;0;0;1;dumont e;0,00000000000000e+00;6,54364611961785e-05;1,19307576521541e-04;c02
DUMONT L;1;0;1;0;1;dumont l;0,00000000000000e+00;6,04083605170956e-05;2,15713115853624e-04;c05
DUMOULIN J;1;0;1;0;7;dumoulin j;0,00000000000000e+00;6,58241179568194e-05;2,02885273067527e-04;c06
DUPEYRAT A;1;6;0;0;2;dupeyrat a;0,00000000000000e+00;7,14285714285714e-02;2,27614281628611e-04;NA
DUPUY D;1;18;0;0;4;dupuy d;0,00000000000000e+00;4,07398354110649e-05;1,45539428097899e-04;c10
DURAND A;1;2;1;2;2;durand a;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
DURAND G;1;50;0;0;4;durand g;0,00000000000000e+00;6,30914826498423e-05;1,20937796602094e-04;NA
DURBEC A;1;19;0;0;8;durbec a;0,00000000000000e+00;7,22543352601156e-05;4,41575269533426e-05;NA
DURBEC M;1;4;0;0;0;durbec m;0,00000000000000e+00;5,11535116885774e-05;1,64937584931749e-04;c09
DURO J;1;0;0;0;0;duro j;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
DURON L;1;0;0;0;2;duron l;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
DURR HH;1;225;0;0;3;durr hh;0,00000000000000e+00;5,75638959244762e-05;1,46680335958806e-04;c07
DURRIEU DE MADRON X;1;2;0;0;4;durrieu de madron x;0,00000000000000e+00;6,99202908684100e-05;1,33744990370211e-04;c02
DUTRIEUX E;1;4;0;0;0;dutrieux e;0,00000000000000e+00;6,46830530401035e-05;2,08710932936678e-04;NA
DUTRUCH L;1;3;0;0;0;dutruch l;0,00000000000000e+00;5,00000000000000e-02;1,93871408971865e-04;NA
DUVAIL U;1;45;0;0;0;duvail u;0,00000000000000e+00;4,62192641893141e-05;2,03697955650288e-04;NA
DUZER D;1;46;0;0;0;duzer d;0,00000000000000e+00;6,57159755536571e-05;1,46568319547359e-04;NA
DUZER J;1;29;0;0;0;duzer j;0,00000000000000e+00;6,50110518788194e-05;1,83777306491633e-04;NA
DZUBAKOVA K;1;14;1;14;7;dzubakova k;0,00000000000000e+00;7,43715603153354e-05;1,06547211598213e-04;c01
EBENER S;1;0;1;0;1;ebener s;0,00000000000000e+00;4,07033539563660e-05;1,16163163607776e-04;c10
ECHEVERRIA MA;1;19;0;0;0;echeverria ma;0,00000000000000e+00;4,61680517082179e-05;2,24795225394510e-04;c10
ECKERT J;1;10;0;0;0;eckert j;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
ECTOR L;1;3;0;0;0;ector l;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
EFIMTZEVA EA;1;0;0;0;0;efimtzeva ea;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
EGAL M;1;0;1;0;1;egal m;0,00000000000000e+00;7,14285714285714e-02;1,74546172338234e-04;NA
EGLI M;1;0;1;0;5;egli m;5,50000000000000e+01;6,25000000000000e-02;3,82330823464076e-04;NA
EICHE E;1;1;0;0;0;eiche e;0,00000000000000e+00;5,00000000000000e-02;2,33444373134557e-04;NA
EISENHAUER L;1;3;0;0;2;eisenhauer l;0,00000000000000e+00;6,62163951794464e-05;9,64714874527697e-05;c03
EITEL EM;1;18;0;0;0;eitel em;0,00000000000000e+00;6,54022236756050e-05;1,33601891429939e-04;c06
EL GANAOUI O;1;27;1;27;1;el ganaoui o;0,00000000000000e+00;6,54150585464774e-05;1,32231292845565e-04;c02
EL HABER E;1;20;0;0;1;el haber e;0,00000000000000e+00;2,00000000000000e-01;2,27515755466097e-04;NA
EL SAYED MA;1;8;1;8;0;el sayed ma;0,00000000000000e+00;2,00000000000000e-01;1,28690642903385e-04;NA
ELGER A;1;33;1;33;5;elger a;2,20105758724236e+04;7,14694110920526e-05;2,92816555199182e-04;NA
ELHABR H;1;1;1;1;6;elhabr h;0,00000000000000e+00;5,96374045801527e-05;7,21461569287987e-05;NA
ELHAMES A;1;24;0;0;0;elhames a;0,00000000000000e+00;6,33191920471095e-05;2,23092295358388e-04;c01
ELKALAY K;1;5;0;0;0;elkalay k;0,00000000000000e+00;6,29762579507526e-05;1,44610282702051e-04;c06
ELLMERS D;1;3;1;3;1;ellmers d;0,00000000000000e+00;NA;3,41273633200992e-05;NA
ELSAYED MA;1;19;1;19;7;elsayed ma;0,00000000000000e+00;2,50000000000000e-01;2,23809813744908e-04;NA
ELSHANAWANY R;1;33;1;33;0;elshanawany r;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
ELSIG A;1;0;0;0;0;elsig a;0,00000000000000e+00;5,20074890784273e-05;2,02547769470533e-04;NA
ELVERT M;1;3;0;0;1;elvert m;2,91247191383921e+03;5,18403317781234e-05;3,01568938716323e-04;NA
EMEIS KC;1;3;0;0;2;emeis kc;0,00000000000000e+00;1,66666666666667e-01;2,27515755466148e-04;NA
ENGEL J;1;37;0;0;1;engel j;0,00000000000000e+00;1,42857142857143e-01;2,27515755466229e-04;NA
EPPE R;1;2;0;0;1;eppe r;0,00000000000000e+00;6,92904656319290e-05;5,52077427936330e-05;c04
ERESKOVSKY AV;1;1;0;0;0;ereskovsky av;0,00000000000000e+00;5,07975210809712e-05;2,26510797005375e-04;c09
ESCOFFIER N;1;3;1;3;3;escoffier n;0,00000000000000e+00;6,14552605703048e-05;2,08981182215578e-04;NA
ESCOUBEYROU R;1;20;0;0;0;escoubeyrou r;0,00000000000000e+00;6,07164541590771e-05;1,18426032698367e-04;c06
ESPINASSE B;1;20;1;20;1;espinasse b;2,24674418895602e+03;6,47458724506313e-05;1,92549504749736e-04;c04
ESTEBAN A;1;27;0;0;0;esteban a;0,00000000000000e+00;1,66666666666667e-01;2,27515755466093e-04;NA
ESTOURNEL V;1;4;0;0;0;estournel v;0,00000000000000e+00;6,68002672010688e-05;1,09105893872343e-04;c02
ETIENNE C;1;16;0;0;0;etienne c;0,00000000000000e+00;5,72672087962433e-05;1,78981251601669e-04;c01
ETIENNE M;1;48;0;0;3;etienne m;0,00000000000000e+00;5,26315789473684e-02;1,25068868317988e-04;NA
ETIENNE S;1;42;0;0;0;etienne s;0,00000000000000e+00;7,14285714285714e-02;2,47262590237570e-04;NA
EVANNO G;1;0;0;0;8;evanno g;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
EVANS CM;1;44;0;0;1;evans cm;0,00000000000000e+00;1,66666666666667e-01;2,41089943525786e-04;NA
EVIN G;1;15;1;15;1;evin g;0,00000000000000e+00;6,02445930477740e-05;9,73378494418605e-05;c01
EVRARD D;1;26;0;0;0;evrard d;0,00000000000000e+00;7,70356675140590e-05;1,34493921042322e-04;c05
EWALD KC;1;58;0;0;0;ewald kc;0,00000000000000e+00;3,48845321984232e-05;1,67978963793775e-04;c10
EWALD M;1;111;0;0;0;ewald m;0,00000000000000e+00;5,95344406739299e-05;1,41977748920375e-04;c03
EYER PA;1;0;1;0;9;eyer pa;0,00000000000000e+00;1,00000000000000e-01;2,27515755466047e-04;NA
EYROLLE O;1;0;0;0;0;eyrolle o;0,00000000000000e+00;7,04324552753909e-05;1,56207405634109e-04;c02
FABRES J;1;31;1;31;6;fabres j;0,00000000000000e+00;6,82360968952576e-05;1,52035588256103e-04;c02
FACCENNA C;1;8;0;0;2;faccenna c;0,00000000000000e+00;1,42857142857143e-01;2,27515755466184e-04;NA
FACHINGER C;1;4;0;0;0;fachinger c;0,00000000000000e+00;4,06091370558376e-05;1,45286980756120e-04;c10
FAGERVOLD SK;1;48;1;48;4;fagervold sk;0,00000000000000e+00;6,99888017917133e-05;1,13823477290651e-04;c06
FAH D;1;0;0;0;3;fah d;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
FAHNESTOCK MF;1;6;0;0;0;fahnestock mf;0,00000000000000e+00;2,50000000000000e-01;2,27515755466251e-04;NA
FAIVRE T;1;10;0;0;0;faivre t;0,00000000000000e+00;7,81677479871805e-05;2,34096240950790e-04;c07
FAJON C;1;42;0;0;1;fajon c;0,00000000000000e+00;6,31592244047243e-05;1,33135635526477e-04;c03
FALCO S;1;0;0;0;2;falco s;0,00000000000000e+00;5,26315789473684e-02;1,73385950017592e-04;NA
FALGUERES C;1;22;0;0;2;falgueres c;0,00000000000000e+00;4,98678501969780e-05;2,71644417302135e-04;NA
FAN Q;1;46;0;0;1;fan q;0,00000000000000e+00;5,56080742923873e-05;1,81693077306559e-04;c05
FANGET F;1;9;0;0;0;fanget f;0,00000000000000e+00;6,84743905779239e-05;1,48390268881139e-04;c02
FANGET MA;1;31;0;0;0;fanget ma;0,00000000000000e+00;6,58544616397761e-05;1,13315697353538e-04;c06
FARIA R;1;4;0;0;1;faria r;0,00000000000000e+00;2,50000000000000e-01;2,27515755466251e-04;NA
FATON JM;1;18;0;0;0;faton jm;0,00000000000000e+00;7,40740740740741e-05;1,67556741276980e-04;c01
FAURE D;1;1;0;0;1;faure d;0,00000000000000e+00;5,19993760074879e-05;1,52619581490058e-04;c11
FAURE PH;1;23;0;0;0;faure ph;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
FAURE R;1;19;0;0;0;faure r;0,00000000000000e+00;7,52558699578567e-05;1,14965002186082e-04;c03
FAURE VM;1;34;0;0;0;faure vm;0,00000000000000e+00;7,07213578500707e-05;1,07506174834446e-04;c03
FAUVELLE M;1;40;0;0;0;fauvelle m;0,00000000000000e+00;6,10388817676860e-05;9,29168189134889e-05;c03
FAUVELLE V;1;16;0;0;3;fauvelle v;5,61569659985730e+03;6,63922453857389e-05;2,02092936882511e-04;c03
FAUVET G;1;13;1;13;2;fauvet g;0,00000000000000e+00;7,39426205264715e-05;7,37868023298633e-05;c01
FAVIER M;1;38;0;0;0;favier m;0,00000000000000e+00;7,23955693911533e-05;1,14840089528575e-04;c08
FAVRIOU P;1;5;0;0;0;favriou p;0,00000000000000e+00;7,37789582411096e-05;1,78161041780323e-04;c04
FAYEIN L;1;0;1;0;0;fayein l;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
FEDERICI P;1;0;0;0;3;federici p;0,00000000000000e+00;1,00000000000000e-01;2,27515755466009e-04;NA
FELIATRA FELIATRA;1;43;0;0;0;feliatra feliatra;0,00000000000000e+00;6,04814322003145e-05;8,42109929684797e-05;c03
FENNEL MAM;1;26;0;0;0;fennel mam;0,00000000000000e+00;6,47207300498350e-05;1,35721747084159e-04;c06
FERNANDES G;1;16;0;0;0;fernandes g;0,00000000000000e+00;1,66666666666667e-01;1,52788313645130e-04;NA
FERNANDEZ E;1;78;0;0;2;fernandez e;0,00000000000000e+00;7,69230769230769e-02;2,27515755466022e-04;NA
FERNANDEZ P;1;4;0;0;13;fernandez p;0,00000000000000e+00;5,83362501458406e-05;1,44165388173403e-04;NA
FERRAND D;1;44;0;0;0;ferrand d;0,00000000000000e+00;7,65696784073507e-05;1,43163107561393e-04;c05
FERRAND JL;1;68;1;68;9;ferrand jl;0,00000000000000e+00;6,63922453857389e-05;7,17223536041551e-05;NA
FERRARI GM;1;111;1;111;7;ferrari gm;0,00000000000000e+00;NA;3,41273633200992e-05;NA
FERRARI H;1;49;0;0;0;ferrari h;0,00000000000000e+00;7,19994240046080e-05;1,31822866620073e-04;c07
FERRATON F;1;107;0;0;5;ferraton f;0,00000000000000e+00;6,14288346950058e-05;2,24656193951342e-04;c04
FERRIER J;1;46;0;0;0;ferrier j;0,00000000000000e+00;6,57159755536571e-05;1,46568319547319e-04;NA
FERRY C;1;41;0;0;0;ferry c;0,00000000000000e+00;2,50000000000000e-01;2,27515755466104e-04;NA
FESQUET J;1;6;0;0;0;fesquet j;0,00000000000000e+00;6,93192846249827e-05;1,88718945937379e-04;c04
FESSELER M;1;10;1;10;1;fesseler m;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
FEUILLAS D;1;0;1;0;0;feuillas d;0,00000000000000e+00;NA;3,41273633200992e-05;NA
FEUILLOLEY G;1;20;1;20;0;feuilloley g;0,00000000000000e+00;6,61594442606682e-05;1,30920075487576e-04;c06
FIANDINO M;1;3;1;3;1;fiandino m;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
FIANDRINO P;1;12;0;0;0;fiandrino p;0,00000000000000e+00;6,63129973474801e-05;1,63111295824823e-04;NA
FILEMAN TW;1;67;0;0;0;fileman tw;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
FILLAUX J;1;40;0;0;0;fillaux j;0,00000000000000e+00;5,65962986020714e-05;1,16617455536149e-04;NA
FILLOUX P;1;78;0;0;0;filloux p;0,00000000000000e+00;7,69230769230769e-02;2,27515755465992e-04;NA
FINAND B;1;0;0;0;0;finand b;0,00000000000000e+00;1,00000000000000e-01;2,27515755465971e-04;NA
FINIZOLA A;1;46;0;0;0;finizola a;0,00000000000000e+00;5,56080742923873e-05;1,81693077306523e-04;c05
FINK G;1;28;0;0;2;fink g;0,00000000000000e+00;5,33959846219564e-05;1,63660338481810e-04;c10
FIORAVANTI T;1;8;0;0;0;fioravanti t;0,00000000000000e+00;6,29921259842520e-05;2,45661575161307e-04;c04
FIORE I;1;4;0;0;2;fiore i;0,00000000000000e+00;5,83362501458406e-05;1,44165388173367e-04;NA
FISCHER C;1;5;0;0;0;fischer c;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
FJORTOFT R;1;0;0;0;0;fjortoft r;0,00000000000000e+00;2,50000000000000e-01;2,27515755466104e-04;NA
FLAMINIO S;1;11;1;11;0;flaminio s;0,00000000000000e+00;NA;3,41273633200992e-05;NA
FLIEDNER A;1;20;0;0;3;fliedner a;0,00000000000000e+00;4,76190476190476e-02;1,98001489829420e-04;NA
FLIPO N;1;7;0;0;0;flipo n;0,00000000000000e+00;8,15527646387213e-05;2,30649461472406e-04;c01
FLORES JA;1;54;0;0;1;flores ja;0,00000000000000e+00;6,69882100750268e-05;1,24085560174913e-04;NA
FLORIN T;1;1;0;0;0;florin t;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
FLORIN ZI;1;1;1;1;0;florin zi;0,00000000000000e+00;5,00000000000000e-01;2,27515755465844e-04;NA
